"Lines","File"
"20648","C:\Project\esgss_junaikey_beta\package-lock.json"
"11509","C:\Project\esgss_junaikey_beta\server\package-lock.json"
"1280","C:\Project\esgss_junaikey_beta\shared\types.ts"
"1125","C:\Project\esgss_junaikey_beta\src\types\agency\index.ts"
"1113","C:\Project\esgss_junaikey_beta\src\1-service\historicalDataAnalysis.ts"
"1113","C:\Project\esgss_junaikey_beta\src\services\historicalDataAnalysis.ts"
"1007","C:\Project\esgss_junaikey_beta\src\i18n\zh-TW\translation.json"
"1007","C:\Project\esgss_junaikey_beta\server\server.ts"
"877","C:\Project\esgss_junaikey_beta\src\data\impact_nexus_cards.json"
"865","C:\Project\esgss_junaikey_beta\src\dataconnect-generated\README.md"
"863","C:\Project\esgss_junaikey_beta\src\config\TaiwanTop30Database.ts"
"856","C:\Project\esgss_junaikey_beta\src\services\securityService.ts"
"856","C:\Project\esgss_junaikey_beta\src\1-service\securityService.ts"
"852","C:\Project\esgss_junaikey_beta\src\config\ESGDigitalPlatform.ts"
"812","C:\Project\esgss_junaikey_beta\src\services\integrationService.ts"
"765","C:\Project\esgss_junaikey_beta\src\1-service\integrationService.ts"
"760","C:\Project\esgss_junaikey_beta\src\dataconnect-generated\react\README.md"
"736","C:\Project\esgss_junaikey_beta\src\omni\infrastructure\logging\OmniLogger.ts"
"729","C:\Project\esgss_junaikey_beta\src\types\core\index.ts"
"729","C:\Project\esgss_junaikey_beta\src\data\esg-omnipotent-data.ts"
"715","C:\Project\esgss_junaikey_beta\src\1-service\auth.ts"
"709","C:\Project\esgss_junaikey_beta\src\services\auth.ts"
"689","C:\Project\esgss_junaikey_beta\src\services\api\JunAiKey.API.Enhanced.ts"
"685","C:\Project\esgss_junaikey_beta\src\data\baseRunes.ts"
"681","C:\Project\esgss_junaikey_beta\src\omni\infrastructure\logging\OmniLogger.js"
"667","C:\Project\esgss_junaikey_beta\src\services\api\JunAiKey.API.ts"
"652","C:\Project\esgss_junaikey_beta\src\1-service\strategyManagement.ts"
"652","C:\Project\esgss_junaikey_beta\src\services\strategyManagement.ts"
"648","C:\Project\esgss_junaikey_beta\src\config\ReportingStandards.ts"
"638","C:\Project\esgss_junaikey_beta\src\config\USTop10Database.ts"
"628","C:\Project\esgss_junaikey_beta\src\core\omniCore.ts"
"612","C:\Project\esgss_junaikey_beta\server\mcp\OmniAwakeningServer.ts"
"606","C:\Project\esgss_junaikey_beta\src\omni\infrastructure\memory\EternalMemory.ts"
"603","C:\Project\esgss_junaikey_beta\src\1-service\OmniLegionCoordinator.ts"
"589","C:\Project\esgss_junaikey_beta\src\2-infra\memory\EternalMemory.ts"
"586","C:\Project\esgss_junaikey_beta\src\config\TaiwanTop30VisualAnalytics.ts"
"584","C:\Project\esgss_junaikey_beta\src\omni\services\OmniEsgManager.ts"
"579","C:\Project\esgss_junaikey_beta\src\config\GRIContentIndexGenerator.ts"
"573","C:\Project\esgss_junaikey_beta\src\0-core\OmniKey.ts"
"572","C:\Project\esgss_junaikey_beta\src\utils\logic-validator.ts"
"562","C:\Project\esgss_junaikey_beta\src\config\TaiwanESGTimeline.ts"
"554","C:\Project\esgss_junaikey_beta\src\types\aiPartner.ts"
"549","C:\Project\esgss_junaikey_beta\src\1-service\OmniEsgManager.ts"
"547","C:\Project\esgss_junaikey_beta\src\core\omnikey\OmniKeyCore.ts"
"531","C:\Project\esgss_junaikey_beta\src\services\integration\DocumentProcessingService.ts"
"526","C:\Project\esgss_junaikey_beta\src\services\scalability.ts"
"523","C:\Project\esgss_junaikey_beta\src\omni\services\ZKPIntegrityService.ts"
"523","C:\Project\esgss_junaikey_beta\src\1-service\scalability.ts"
"521","C:\Project\esgss_junaikey_beta\src\utils\translation-validator.ts"
"519","C:\Project\esgss_junaikey_beta\src\1-service\ZKPIntegrityService.ts"
"518","C:\Project\esgss_junaikey_beta\src\omni\services\OmniLegionCoordinator.ts"
"509","C:\Project\esgss_junaikey_beta\src\services\stakeholderService.ts"
"502","C:\Project\esgss_junaikey_beta\src\1-service\stakeholderService.ts"
